no,url_id,link,location_name,category,address,rating,number_of_ratings,price_range_per_person,reported_by_people,range_price,percentage,monday_open,monday_close,tuesday_open,tuesday_close,wednesday_open,wednesday_close,thursday_open,thursday_close,friday_open,friday_close,saturday_open,saturday_close,sunday_open,sunday_close
1,0x2e69c53d5208fc01:0x1b63a9420478855a,https://www.google.com/maps/place/HAGU+Coffee+%26+Space/data=!4m7!3m6!1s0x2e69c53d5208fc01:0x1b63a9420478855a!8m2!3d-6.5915131!4d106.8080215!16s%2Fg%2F11rtd2crjx!19sChIJAfwIUj3FaS4RWoV4BEKpYxs?authuser=0&hl=en&rclk=1,"HAGU Coffee & Space","Coffee shop","Jl. Sancang. 22 A RT 003/007, Babakan, Bogor Tengah, Bogor City, West Java 16128",4.7,1083,"Rp 25-50K",371,"Rp 1-25.000, Rp 25.000-50.000, Rp 50.000-75.000, Rp 75.000-100.000","0%, 40%, 37%, 13%",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,0x2e69c5c5293059b1:0x84015caeca01df5f,https://www.google.com/maps/place/Third+Wave+Coffee+Co+Indonesia/data=!4m7!3m6!1s0x2e69c5c5293059b1:0x84015caeca01df5f!8m2!3d-6.5993439!4d106.8056651!16s%2Fg%2F11g9w5bbr_!19sChIJsVkwKcXFaS4RX98Byq5cAYQ?authuser=0&hl=en&rclk=1,"Third Wave Coffee Co Indonesia","Coffee shop","Jl. Prof. DR. H. Andi Hakim Nasoetion No.1, Tegallega, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16129",4.6,1870,"Rp 25-50K",254,"Rp 1-25.000, Rp 25.000-50.000, Rp 50.000-75.000, Rp 75.000-100.000","4%, 51%, 28%, 12%","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm"
3,0x2e69c53a5859bc51:0xb3125d7d1fcd8010,https://www.google.com/maps/place/COFFEERIGHT+-+A.+YANI+BOGOR/data=!4m7!3m6!1s0x2e69c53a5859bc51:0xb3125d7d1fcd8010!8m2!3d-6.5746463!4d106.800988!16s%2Fg%2F11t8bsrttl!19sChIJUbxZWDrFaS4REIDNH31dErM?authuser=0&hl=en&rclk=1,"COFFEERIGHT - A. YANI BOGOR","Coffee shop","Jl. A. Yani No.29A, Tanah Sareal, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16161",4.6,302,"Rp 25-75K",149,"Rp 1-25.000, Rp 25.000-75.000, Rp 75.000-125.000","1%, 77%, 17%","7.00 am","10.00 pm","7.00 am","10.00 pm","7.00 am","10.00 pm","7.00 am","10.00 pm","7.00 am","11.00 pm","7.00 am","11.00 pm","7.00 am","10.00 pm"
4,0x2e69c5ce8c1e2a17:0x7a3efefd03c4b109,https://www.google.com/maps/place/MARACA+BOOKS+AND+COFFEE/data=!4m7!3m6!1s0x2e69c5ce8c1e2a17:0x7a3efefd03c4b109!8m2!3d-6.5932014!4d106.8030081!16s%2Fg%2F11clsc5kn7!19sChIJFyoejM7FaS4RCbHEA_3-Pno?authuser=0&hl=en&rclk=1,"MARACA BOOKS AND COFFEE",Cafe,"Jl. Jalak Harupat No.9a, Babakan, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16122",4.7,780,"Rp 25-50K",148,"Rp 1-25.000, Rp 25.000-50.000, Rp 50.000-75.000, Rp 75.000-100.000","5%, 54%, 30%, 7%","6.30 am","10.00 pm","6.30 am","10.00 pm","6.30 am","10.00 pm","6.30 am","10.00 pm","6.30 am","10.00 pm","6.30 am","10.00 pm","6.30 am","10.00 pm"
5,0x2e69c54608259df3:0xa55ecaa4b2fa0281,https://www.google.com/maps/place/Tanmu+Coffee/data=!4m7!3m6!1s0x2e69c54608259df3:0xa55ecaa4b2fa0281!8m2!3d-6.611064!4d106.8142145!16s%2Fg%2F11nmphf384!19sChIJ850lCEbFaS4RgQL6sqTKXqU?authuser=0&hl=en&rclk=1,"Tanmu Coffee","Coffee shop","Jl. Pajajaran Indah V No.38, RT.01/RW.11, Baranangsiang, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16143",4.6,861,"Rp 25-50K",250,"Rp 1-25.000, Rp 25.000-50.000, Rp 50.000-75.000, Rp 75.000-100.000","2%, 40%, 30%, 17%","7.00 am","1.00 am","7.00 am","12.00 am","7.00 am","1.00 am","7.00 am","1.00 am","6.00 am","3.00 am","6.00 am","3.00 am","7.00 am","1.00 am"
6,0x2e69c7bb70c7afc1:0x31d54fe1ccb1aa1a,https://www.google.com/maps/place/Cabin+Coffee+Bogor/data=!4m7!3m6!1s0x2e69c7bb70c7afc1:0x31d54fe1ccb1aa1a!8m2!3d-6.6108598!4d106.8199169!16s%2Fg%2F11jrp_rkxl!19sChIJwa_HcLvHaS4RGqqxzOFP1TE?authuser=0&hl=en&rclk=1,"Cabin Coffee Bogor","Coffee shop","Jl. Kol. Ahmad Syam, RT.02/RW.05, Katulampa, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16144",4.7,263,"Rp 25-50K",37,"Rp 1-25.000, Rp 25.000-50.000, Rp 50.000-75.000","8%, 68%, 16%","9.00 am","11.00 pm","9.00 am","11.00 pm","9.00 am","11.00 pm","9.00 am","11.00 pm","9.00 am","11.00 pm","8.00 am","12.00 am","8.00 am","12.00 am"
7,0x2e69c5878cc9b00f:0x1d4c15e858d5bc53,https://www.google.com/maps/place/Kopitagram+-+Malabar/data=!4m7!3m6!1s0x2e69c5878cc9b00f:0x1d4c15e858d5bc53!8m2!3d-6.5948743!4d106.8062927!16s%2Fg%2F11smtzzhtj!19sChIJD7DJjIfFaS4RU7zVWOgVTB0?authuser=0&hl=en&rclk=1,"Kopitagram - Malabar","Coffee shop","Jl. Malabar Ujung No.1, Babakan, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16128",4.6,1218,"Rp 50-75K",451,"Rp 25.000-50.000, Rp 50.000-75.000, Rp 75.000-100.000","31%, 39%, 20%","8.00 am","11.00 pm","8.00 am","11.00 pm","8.00 am","11.00 pm","8.00 am","11.00 pm","8.00 am","11.00 pm","8.00 am","11.00 pm","8.00 am","11.00 pm"
8,0x2e69c51e4b6fde1b:0x61ded53eead48692,https://www.google.com/maps/place/KOBA+Coffee.id/data=!4m7!3m6!1s0x2e69c51e4b6fde1b:0x61ded53eead48692!8m2!3d-6.6007363!4d106.7922251!16s%2Fg%2F11hzsldwlp!19sChIJG95vSx7FaS4RkobU6j7V3mE?authuser=0&hl=en&rclk=1,"KOBA Coffee.id","Coffee shop","Jl. Paledang No.41, Paledang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16122",4.6,1169,"Rp 50-75K",231,"Rp 25.000-50.000, Rp 50.000-75.000, Rp 75.000-100.000","36%, 38%, 16%","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm"
9,0x2e69c5e7bd65a53f:0x2b7130985b1e0ce5,https://www.google.com/maps/place/FOUR+CORNERS+-+Coffee+Shop+Bogor/data=!4m7!3m6!1s0x2e69c5e7bd65a53f:0x2b7130985b1e0ce5!8m2!3d-6.5892521!4d106.7853718!16s%2Fg%2F11rvjtxtzp!19sChIJP6VlvefFaS4R5QweW5gwcSs?authuser=0&hl=en&rclk=1,"FOUR CORNERS - Coffee Shop Bogor","Coffee shop","Jl. DR. Sumeru No.44, Kota, Kec. Bogor Bar., Kota Bogor, Jawa Barat 16111",4.8,245,"Rp 25-50K",102,"Rp 1-25.000, Rp 25.000-50.000, Rp 50.000-75.000","1%, 62%, 28%",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,0x2e69c7010fcd4da3:0x870740fa1a2dc345,https://www.google.com/maps/place/HAFA+Coffee+%26+Kitchen/data=!4m7!3m6!1s0x2e69c7010fcd4da3:0x870740fa1a2dc345!8m2!3d-6.5744574!4d106.8178475!16s%2Fg%2F11fkwd2d6f!19sChIJo03NDwHHaS4RRcMtGvpAB4c?authuser=0&hl=en&rclk=1,"HAFA Coffee & Kitchen",Cafe,"Jl. Pandu Raya No.3 blok G2, Tegal Gundil, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16152",4.7,1894,"Rp 25-75K",295,"Rp 1-25.000, Rp 25.000-75.000, Rp 75.000-125.000","2%, 61%, 28%","7.00 am","11.00 pm","7.00 am","11.00 pm","7.00 am","11.00 pm","7.00 am","11.00 pm","7.00 am","11.00 pm","7.00 am","11.00 pm","7.00 am","11.00 pm"
